Date (GMT+1),Non-Renewable,Renewable
,Power (MW),Power (MW)
2024-01-03T01:15+01:00,9572.168318,46689.19317
2024-01-03T01:30+01:00,9563.133011,46310.7146
2024-01-03T01:45+01:00,9504.781567,45995.81905
2024-01-03T02:00+01:00,9647.150641,46249.63177
2024-01-03T02:15+01:00,9607.631511,46583.54722
2024-01-03T02:30+01:00,9551.919691,46911.77176
2024-01-03T02:45+01:00,9584.969512,47173.42364
2024-01-03T03:00+01:00,9554.217315,46936.34598
2024-01-03T03:15+01:00,9532.897836,46637.59157
2024-01-03T03:30+01:00,9566.798603,46710.25216
2024-01-03T03:45+01:00,9556.995521,46537.23055
2024-01-03T04:00+01:00,9554.447641,46798.49814
2024-01-03T04:15+01:00,9547.24568,47149.83775
2024-01-03T04:30+01:00,9571.93136,47830.21043
2024-01-03T04:45+01:00,9616.155576,48426.49641
2024-01-03T05:00+01:00,9697.105735,47696.95435
2024-01-03T05:15+01:00,9766.771987,47760.45827
2024-01-03T05:30+01:00,9875.777037,48768.61452
2024-01-03T05:45+01:00,9940.572612,49313.1911
2024-01-03T06:00+01:00,10217.49735,52497.72403
2024-01-03T06:15+01:00,10225.59447,53306.47064
2024-01-03T06:30+01:00,10288.98892,53688.96543
2024-01-03T06:45+01:00,10483.38063,53990.4166
2024-01-03T07:00+01:00,10729.09152,54421.14672
2024-01-03T07:15+01:00,10883.51046,54641.61339
2024-01-03T07:30+01:00,10860.80564,54887.4153
2024-01-03T07:45+01:00,10888.67124,54967.66888
2024-01-03T08:00+01:00,11211.84279,54642.34096
2024-01-03T08:15+01:00,11391.33232,54540.67599
2024-01-03T08:30+01:00,11477.77528,54676.66569
2024-01-03T08:45+01:00,11532.72848,54651.05866
2024-01-03T09:00+01:00,11849.46444,54845.53551
2024-01-03T09:15+01:00,11813.23158,55478.37912
2024-01-03T09:30+01:00,11827.70765,55970.62039
2024-01-03T09:45+01:00,11788.94664,56807.09456
2024-01-03T10:00+01:00,11748.20084,57766.53739
2024-01-03T10:15+01:00,11649.03066,58553.58563
2024-01-03T10:30+01:00,11606.41085,58749.11636
2024-01-03T10:45+01:00,11616.05961,59043.64433
2024-01-03T11:00+01:00,11457.60412,59617.4608
2024-01-03T11:15+01:00,11455.8916,60138.8044
2024-01-03T11:30+01:00,11436.142,60320.41021
2024-01-03T11:45+01:00,11425.00497,60125.47897
2024-01-03T12:00+01:00,11378.22393,59910.02375
2024-01-03T12:15+01:00,11308.78629,59879.53683
2024-01-03T12:30+01:00,11327.21022,59850.93046
2024-01-03T12:45+01:00,11362.45041,59701.03442
2024-01-03T13:00+01:00,11573.5105,59297.70335
2024-01-03T13:15+01:00,11749.51961,58539.29526
2024-01-03T13:30+01:00,11764.76085,57994.50774
2024-01-03T13:45+01:00,11730.87554,57488.99065
2024-01-03T14:00+01:00,11503.67314,56638.2908
